Mean;Mean;
x;y;
[];[];
0.063017409;0.34558658;
0.063805127;0.34453627;
0.064592844;0.34614859;
0.065380562;0.34172775;
0.06616828;0.33226343;
0.066955997;0.3257511;
0.067743715;0.32954752;
0.068531432;0.32899574;
0.06931915;0.34553117;
0.070106868;0.34943284;
0.070894585;0.36122737;
0.071682303;0.3621455;
0.072470021;0.35173315;
0.073257738;0.35195145;
0.074045456;0.35298916;
0.074833173;0.36344125;
0.075620891;0.35917778;
0.076408609;0.35307027;
0.077196326;0.35896698;
0.077984044;0.35780241;
0.078771761;0.35307956;
0.079559479;0.34527832;
0.080347197;0.34664386;
0.081134914;0.35595354;
0.081922632;0.35196485;
0.08271035;0.34483906;
0.083498067;0.3460362;
0.084285785;0.35223092;
0.085073502;0.35483532;
0.08586122;0.35506898;
0.086648938;0.36477779;
0.087436655;0.35780349;
0.088224373;0.34999019;
0.08901209;0.35090231;
0.089799808;0.3732665;
0.090587526;0.37778428;
0.091375243;0.37520087;
0.092162961;0.36282514;
0.092950679;0.37359284;
0.093738396;0.37496622;
0.094526114;0.37056364;
0.095313831;0.36525982;
0.096101549;0.35570442;
0.096889267;0.35219696;
0.097676984;0.35797735;
0.098464702;0.35854547;
0.099252419;0.35991096;
0.10004014;0.35276735;
0.10082785;0.34827207;
0.10161557;0.33850366;
0.10240329;0.32839396;
0.10319101;0.3173442;
0.10397873;0.32161788;
0.10476644;0.34018188;
0.10555416;0.34743039;
0.10634188;0.36140204;
0.1071296;0.36269888;
0.10791731;0.3579995;
0.10870503;0.35774939;
0.10949275;0.36228277;
0.11028047;0.35253464;
0.11106818;0.34943451;
0.1118559;0.34174724;
0.11264362;0.34089266;
0.11343134;0.33396506;
0.11421905;0.35099602;
0.11500677;0.35749575;
0.11579449;0.3546286;
0.11658221;0.3613639;
0.11736992;0.35919449;
0.11815764;0.35672861;
0.11894536;0.35648261;
0.11973308;0.36965643;
0.1205208;0.37489447;
0.12130851;0.3573885;
0.12209623;0.35779583;
0.12288395;0.34521044;
0.12367167;0.34716556;
0.12445938;0.34906272;
0.1252471;0.35246545;
0.12603482;0.35372935;
0.12682254;0.3497018;
