Mean;Mean;
x;y;
[];[];
0.11730879;0.16124408;
0.11875705;0.15776059;
0.1202053;0.15599241;
0.12165356;0.15553606;
0.12310182;0.156318;
0.12455007;0.16226872;
0.12599833;0.16521301;
0.12744659;0.16515745;
0.12889484;0.16345114;
0.1303431;0.16332263;
0.13179136;0.16345438;
0.13323961;0.15877904;
0.13468787;0.15429684;
0.13613613;0.14938778;
0.13758438;0.14318072;
0.13903264;0.14744217;
0.1404809;0.15435021;
0.14192915;0.15400222;
0.14337741;0.15375318;
0.14482567;0.15072116;
0.14627392;0.1407766;
0.14772218;0.13492166;
0.14917044;0.12485785;
0.15061869;0.11992304;
0.15206695;0.1217427;
0.15351521;0.1287267;
0.15496346;0.14017574;
0.15641172;0.150108;
0.15785998;0.15780809;
0.15930823;0.16642376;
0.16075649;0.1680681;
0.16220475;0.16645981;
0.163653;0.16670063;
0.16510126;0.16469286;
0.16654952;0.16451864;
0.16799777;0.16365902;
0.16944603;0.16399328;
0.17089429;0.16428314;
0.17234254;0.1607004;
0.1737908;0.15681624;
0.17523906;0.15783243;
0.17668731;0.15548171;
0.17813557;0.15792587;
0.17958383;0.16103738;
0.18103208;0.16326866;
0.18248034;0.16398722;
0.1839286;0.15865495;
0.18537685;0.15190455;
0.18682511;0.1441799;
0.18827337;0.13713851;
0.18972162;0.13722948;
0.19116988;0.14085116;
0.19261814;0.14600324;
0.19406639;0.15264798;
0.19551465;0.15431041;
0.19696291;0.15496565;
0.19841116;0.15895893;
0.19985942;0.15866022;
0.20130768;0.15739008;
0.20275593;0.16053453;
0.20420419;0.16741675;
0.20565245;0.16575145;
0.20710071;0.15761683;
0.20854896;0.15317576;
0.20999722;0.15439742;
0.21144548;0.15735387;
0.21289373;0.16010713;
0.21434199;0.15850129;
0.21579025;0.16136432;
0.2172385;0.16826429;
0.21868676;0.16887658;
0.22013502;0.16705937;
0.22158327;0.16517528;
0.22303153;0.16653293;
0.22447979;0.1676689;
0.22592804;0.17056338;
0.2273763;0.1726191;
0.22882456;0.17158343;
0.23027281;0.16676095;
0.23172107;0.163012;
0.23316933;0.16245037;
0.23461758;0.15790957;
0.23606584;0.15156649;
