Mean;Mean;
x;y;
[];[];
0.11714286;0.6143661;
0.11857143;0.61085425;
0.12;0.5972069;
0.12142857;0.59281776;
0.12285714;0.59547726;
0.12428571;0.59545372;
0.12571429;0.59747503;
0.12714286;0.59966277;
0.12857143;0.60497381;
0.13;0.59588652;
0.13142857;0.59535447;
0.13285714;0.59459019;
0.13428571;0.59723624;
0.13571429;0.60640914;
0.13714286;0.59955621;
0.13857143;0.60132546;
0.14;0.59755092;
0.14142857;0.59873413;
0.14285714;0.5931474;
0.14428571;0.59339773;
0.14571429;0.59406764;
0.14714286;0.59307171;
0.14857143;0.59517885;
0.15;0.59735356;
0.15142857;0.59317851;
0.15285714;0.59237674;
0.15428571;0.59507883;
0.15571429;0.59879544;
0.15714286;0.59385136;
0.15857143;0.59455846;
0.16;0.59078375;
0.16142857;0.59090433;
0.16285714;0.59419205;
0.16428571;0.59253303;
0.16571429;0.59756195;
0.16714286;0.58855238;
0.16857143;0.5891743;
0.17;0.5868759;
0.17142857;0.60165743;
0.17285714;0.59900124;
0.17428571;0.59395251;
0.17571429;0.59504986;
0.17714286;0.59228738;
0.17857143;0.59055199;
0.18;0.59363529;
0.18142857;0.59539722;
0.18285714;0.59490436;
0.18428571;0.58774316;
0.18571429;0.59174692;
0.18714286;0.59713428;
0.18857143;0.59006849;
0.19;0.5945566;
0.19142857;0.59157306;
0.19285714;0.58478836;
0.19428571;0.5907885;
0.19571429;0.59074991;
0.19714286;0.60177007;
0.19857143;0.60629047;
0.2;0.59682985;
0.20142857;0.58837693;
0.20285714;0.59693895;
0.20428571;0.59893299;
0.20571429;0.59172944;
0.20714286;0.58959197;
0.20857143;0.58974757;
0.21;0.58709264;
0.21142857;0.59075892;
0.21285714;0.59550824;
0.21428571;0.59830483;
0.21571429;0.59879826;
0.21714286;0.58613643;
0.21857143;0.58985941;
0.22;0.59510324;
0.22142857;0.59475877;
0.22285714;0.58992729;
0.22428571;0.59073942;
0.22571429;0.58709109;
0.22714286;0.59032109;
0.22857143;0.59199197;
0.23;0.59101952;
0.23142857;0.58858667;
0.23285714;0.59491646;
0.23428571;0.60015419;
0.23571429;0.59445216;
