Mean;Mean;
x;y;
[];[];
0.11564423;0.53703512;
0.11707194;0.52930543;
0.11849965;0.5275748;
0.11992735;0.53016358;
0.12135506;0.52650889;
0.12278277;0.51677575;
0.12421047;0.51534444;
0.12563818;0.52504844;
0.12706588;0.52726303;
0.12849359;0.51368803;
0.1299213;0.50804797;
0.131349;0.51525768;
0.13277671;0.52318703;
0.13420442;0.52519973;
0.13563212;0.51775928;
0.13705983;0.50835552;
0.13848754;0.50450518;
0.13991524;0.50223964;
0.14134295;0.49657764;
0.14277066;0.49415045;
0.14419836;0.50481397;
0.14562607;0.51679561;
0.14705378;0.51977566;
0.14848148;0.53008482;
0.14990919;0.54821693;
0.1513369;0.56193394;
0.1527646;0.56227436;
0.15419231;0.55810569;
0.15562002;0.5571499;
0.15704772;0.56135207;
0.15847543;0.56982184;
0.15990314;0.57688248;
0.16133084;0.57728986;
0.16275855;0.57725854;
0.16418626;0.58215622;
0.16561396;0.58249802;
0.16704167;0.58613299;
0.16846938;0.59455277;
0.16989708;0.59316949;
0.17132479;0.58288848;
0.1727525;0.57854081;
0.1741802;0.58344898;
0.17560791;0.58614921;
0.17703562;0.58409126;
0.17846332;0.57397997;
0.17989103;0.57027022;
0.18131873;0.5841066;
0.18274644;0.59416154;
0.18417415;0.58846575;
0.18560185;0.57848614;
0.18702956;0.57972373;
0.18845727;0.58112989;
0.18988497;0.56987406;
0.19131268;0.56305648;
0.19274039;0.56765087;
0.19416809;0.57218728;
0.1955958;0.56820479;
0.19702351;0.55428536;
0.19845121;0.54791464;
0.19987892;0.5544622;
0.20130663;0.55333862;
0.20273433;0.54797147;
0.20416204;0.54647557;
0.20558975;0.53962455;
0.20701745;0.53856736;
0.20844516;0.53744675;
0.20987287;0.53026183;
0.21130057;0.52733415;
0.21272828;0.52244226;
0.21415599;0.51266151;
0.21558369;0.50746985;
0.2170114;0.50349229;
0.21843911;0.49423669;
0.21986681;0.48890864;
0.22129452;0.48690974;
0.22272223;0.48353765;
0.22414993;0.48023448;
0.22557764;0.47393511;
0.22700535;0.47467107;
0.22843305;0.4784706;
0.22986076;0.47663142;
0.23128846;0.4823428;
